Designators,Quantity,Value,Target Footprint,Manufacturer,Manufacturer Part Number,LCSC Part Number,Assembly,Status,Notes
"C2,C4,C5",3,100nF,0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,SMT,READY,"16 V X7R; JLCPCB Basic"
"C9,C12,C15,C22,C30,C31",6,100nF,0603,YAGEO,CC0603KRX7R9BB104,C14663,SMT,READY,"50 V X7R"
"C1,C3,C7,C20,C32",5,1uF,0603,Samsung Electro-Mechanics,CL10A105KB8NNNC,C15849,SMT,READY,"50 V X5R; exceeds original 10 V and 25 V ratings; JLCPCB Basic"
"C6,C8,C16,C21,C24,C25,C26,C27,C28,C29",10,10uF,0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,SMT,READY,"10 V X5R; JLCPCB Basic"
C33,1,10uF,0603,Samsung Electro-Mechanics,CL10A106MA8NRNC,C96446,SMT,READY,"25 V X5R; fan rail; JLCPCB Basic"
"C10,C11,C13,C17,C18",5,22uF,0805,Samsung Electro-Mechanics,CL21A226MAQNNNE,C45783,SMT,READY,"25 V X5R; schematic and PCB use 0805; JLCPCB Basic"
C14,1,22uF,0603,Samsung Electro-Mechanics,CL10A226MP8NUNE,C86295,SMT,READY,"10 V X5R; VDC rail"
"C19",1,4.7nF,0603,FH (Guangdong Fenghua Advanced Tech),0603B472K500NT,C53987,SMT,READY,"50 V X7R 10%; TPS61089 compensation capacitor; JLCPCB Basic"
"C23",1,47nF,0603,Samsung Electro-Mechanics,CL10B473KB8NNNC,C1622,SMT,READY,"50 V X7R 10%; BQ25895 BTST-to-SW bootstrap capacitor; JLCPCB Basic"
"R1,R2,R17,R24",4,10k,0603,UNI-ROYAL,0603WAF1002T5E,C25804,SMT,READY,"1% 100 mW; JLCPCB Basic"
"R9,R10,R12,R18,R28",5,100k,0603,UNI-ROYAL,0603WAF1003T5E,C25803,SMT,READY,"1% 100 mW; JLCPCB Basic"
"R5,R19,R20",3,100R,0603,UNI-ROYAL,0603WAF1000T5E,C22775,SMT,READY,"1% 100 mW"
R16,1,107k,0603,YAGEO,RC0603FR-07107KL,C245894,SMT,READY,"1% 100 mW"
R14,1,17.4k,0603,YAGEO,RC0603FR-0717K4L,C185365,SMT,READY,"1% 100 mW"
"R26,R27",2,1k,0603,UNI-ROYAL,0603WAF1001T5E,C21190,SMT,READY,"1% 100 mW; JLCPCB Basic"
"R3,R4,R21",3,2.2k,0603,UNI-ROYAL,0603WAF2201T5E,C4190,SMT,READY,"1% 100 mW"
"R6,R7",2,22R,0603,UNI-ROYAL,0603WAF220JT5E,C23345,SMT,READY,"1% 100 mW; matched USB pair uses same reel"
"R11,R13",2,300k,0603,UNI-ROYAL,0603WAF3003T5E,C23024,SMT,READY,"1% 100 mW; R11 FSW change is -0.33%; R13 sets approximately 3.43 A typical TPS61089 peak limit; JLCPCB Basic"
R22,1,30k,0603,UNI-ROYAL,0603WAF3002T5E,C22984,SMT,READY,"1% 100 mW; -0.33% nominal TS-divider change; JLCPCB Basic"
R23,1,5.23k,0603,YAGEO,RC0603FR-075K23L,C185317,SMT,READY,"1% 100 mW"
R8,1,634k,0603,YAGEO,RC0603FR-07634KL,C273753,SMT,READY,"1% 100 mW; MAX98357A summed-mono SD_MODE pull-up for 3.3 V logic"
R15,1,953k,0603,PANASONIC,ERJ3EKF9533V,C403405,SMT,READY,"1% 100 mW; stocked exact-value alternate"
R25,1,10mR,1206,FOJAN,FRM121WFR010TM,C7467248,SMT,READY,"1% 1 W 50 ppm/C current shunt; INA180A3 gain gives 1 V/A nominal fan-current scaling"
"L1,L2,L3",3,2.2uH,Inductor_SMD:L_Changjiang_FNR4030S,cjiang,FNR4030S2R2MT,C167869,SMT,READY,"3.2 A Irms, 5.8 A Isat, 39 mOhm, 4x4x3 mm; shared reel; L1 coordinated with 3.43 A typical peak limit; keep BQ25895 charge current at or below 3 A without thermal revalidation"
"Q1,Q3",2,AO3401A,SOT-23,Alpha & Omega Semiconductor,AO3401A,C15127,SMT,READY,"P-channel 30 V"
Q2,1,AO3400A,SOT-23,Alpha & Omega Semiconductor,AO3400A,C20917,SMT,READY,"N-channel 30 V"
Q4,1,2N7002,SOT-23,Jiangsu Changjing Electronics Technology Co. Ltd.,2N7002,C8545,SMT,READY,"60 V 115 mA N-channel; JLCPCB Basic; PWM open-drain control only"
"D1,D2,D3",3,WS2812B-2427-V6,"SMD-4P 2.7x2.4 mm",Worldsemi,WS2812B-2427-V6,C52941389,SMT,READY,"3.3 V compatible 24-bit 800 kbit/s replacement; project-local adapter footprint retains legacy logical pad numbers and marks the required 180 degree physical orientation; verify physical pin 1 at lower right in the JLC assembly viewer"
D4,1,Red LED,0603,"Hubei KENTO Elec",KT-0603R,C2286,SMT,READY,"Red charge/status indicator; 1.8-2.4 V forward voltage"
D5,1,SS12,SMA,onsemi,SS12,C184027,SMT,READY,"20 V 1 A Schottky"
TH1,1,10k NTC,0603,Murata,NCU18XH103F60RB,C440252,SMT,READY,"3380 K nominal B25/50; 1%"
U1,1,SHT40,"DFN 1.5x1.5 mm",Sensirion,SHT40-AD1B-R2,C2909890,SMT,READY,"Base-accuracy SHT4x; I2C address 0x44"
U2,1,ESP32-S3-MINI-1-N8,ESP32-S3-MINI-1,Espressif Systems,ESP32-S3-MINI-1-N8,C2913206,SMT,READY,"8 MB flash and no PSRAM; matches the module identity preserved in the existing exported STEP model"
U3,1,MAX98357A,"TQFN-16 3x3 mm",Analog Devices / Maxim,MAX98357AETE+T,C910544,SMT,READY,"Class-D I2S amplifier"
U4,1,FUSB303B,"X2QFN-12 1.6x1.6 mm",onsemi,FUSB303BTMX,C895444,SMT,READY,"USB-C port controller"
U5,1,TPS61089,"VQFN-11 2x2.5 mm",Texas Instruments,TPS61089RNRR,C165129,SMT,READY,"Boost converter"
U6,1,D3V3XA4B10LP,"UDFN2510-10",Diodes Incorporated,D3V3XA4B10LP-7,C1980462,SMT,READY,"4-channel low-capacitance ESD array"
U7,1,BQ25895,"WQFN-24 4x4 mm",Texas Instruments,BQ25895RTWR,C80200,SMT,READY,"Single-cell charger/power path"
U8,1,TPS63001,"VSON-10 3x3 mm",Texas Instruments,TPS63001DRCR,C28060,SMT,READY,"Fixed 3.3 V buck-boost"
U9,1,INA180A3,SOT-23-5,Texas Instruments,INA180A3IDBVR,C122882,SMT,READY,"Gain 100 V/V"
J2,1,USB-C receptacle,GCT_USB4110,Global Connector Technology,USB4110-GF-A,C5143397,SMT,READY,"Exact mechanical part; JLC/LCSC assembly listing showed stock on 2026-08-14; recheck at order"
J3,1,JST PH 2-pin right-angle,"THT P2.00 mm",JST,S2B-PH-K-S(LF)(SN),C173752,THT,READY,"Battery connector; wave/selective/manual assembly may be quoted separately"
J4,1,JST GH 3-pin right-angle,"SMT P1.25 mm",JST,SM03B-GHS-TB(LF)(SN),C514175,SMT,READY,"Fan power PWM and GND"
"SW1,SW2",2,Tactile switch,"SMD 6.3x6 mm",Omron,B3FS-1000P,C271750,SMT,READY,"Reset and boot"
"SW3,SW4,SW5",3,PG1316S,PG1316S,"","","",DNP,EXCLUDED,"User-requested exclusion; source and fit separately"
J1,1,Speaker wire pads,SolderWire,,,,DNP,EXCLUDED,"Direct-soldered wire; no placed component"
"H1,H2,H3,H4",4,Mounting hole,"","","","",DNP,EXCLUDED,"Mechanical holes"
"TP1,TP2,TP3,TP4",4,Test point,"","","","",DNP,EXCLUDED,"Bare PCB test pads"
